number,name,addressStreet,addressParcel
4379,천하제일복권명당,대전 중구 태평로 109,대전 중구 태평동 377-4번지
4380,위앤조이 유천점,대전 중구 계백로 1624,대전 중구 유천2동 186-4번지
4381,복권명당,대전 중구 태평로44번길 53 유진하나아파트,대전 중구 유천동 319-1
4382,진플러스안경,대전 중구 대종로 301-1,대전 중구 부사동 153-20번지
4383,복권천하문화점,대전 중구 천근로 23,대전 중구 문화동 466-6번지
4384,복권천국,대전 중구 보문로 173,대전 중구 대흥동 370-6
4385,복권방,대전 동구 대전로 799,대전 동구 중동 77-2번지
4386,꿈돌이복권방,대전 서구 도산로 78,대전 서구 도마1동 129-9번지
4387,복권명당(대청점),대전 동구 용운로 67,대전 동구 용운동 487번지
4388,복권판매소,대전 동구 동대전로 68,대전 동구 대1동 152-5번지
4389,꽃돼지복권,대전 동구 계족로 194-1,대전 동구 대동 172-11
4390,천하제일복권명당,대전 동구 새울로 93,대전 동구 용운동 352-6
4391,복권전문점,대전 유성구 유성대로694번길 84,대전 유성구 봉명동 568-4번지
4392,노다지복권방유성온천,대전 유성구 진잠로 100,대전 유성구 원내동 197-12
4393,월드복권,대전 서구 계백로 1272,대전 서구 정림동 502번지
4394,준원슈퍼,대전 중구 보문로260번길 43,대전 중구 대흥동 211번지
4395,그린마트,대전 중구 대종로 465,대전 중구 대흥동 186-3
4396,대전하이퍼,대전 중구 보문산로 76,대전 중구 산성동 280-11
4397,보문도매마트,대전 중구 보문로 151 보문아파트,대전 중구 대사동 87-40
4398,GS25선화목동점,대전 중구 선화서로 128-1,대전 중구 선화동 157-8
4399,선화슈퍼,대전 중구 보문로 334,대전 중구 선화동 133-25번지
4400,베팅샵(양파),대전 동구 계족로431번길 5,대전 동구 용전동 182-42번지
4401,장터슈퍼,대전 동구 대전로 663-2,대전 동구 인동 212-1번지
4402,복권전문판매점,대전 동구 가양로 104,대전 동구 가양동 433-8번지
4403,동부슈퍼,대전 동구 동서대로 1706,대전 동구 가양1동 451-21번지
4404,후생사제3매장,대전 동구 비래서로42번길 105,대전 동구 가양2동 38-6번지
4405,로또방,대전 유성구 관평1로 58,대전 유성구 관평동 1034
4406,송강로또,대전 유성구 봉산로 10,대전 유성구 봉산동 234-9번지
4407,태양마트,대전 유성구 노은로 157,대전 유성구 지족동 894-1
4408,대한민국마트,대전 유성구 전민로46번길 40,대전 유성구 전민동 458-9번지
4409,타임마트,대전 중구 중앙로 65,대전 중구 선화동 382-49번지
4410,그린로또,대전 중구 대종로 674,대전 중구 중촌동 98-20번지
4411,미니슈퍼,대전 중구 유천로 47,대전 중구 유천동 215-44
4412,씨유 대전태평점,대전 중구 동서대로 1193,대전 중구 태평동 410-9번지
4413,타임마트,대전 서구 동서대로 696,대전 서구 도안동 854번지
4414,모아스토아,대전 서구 신갈마로 123,대전 서구 갈마1동 392-11번지
4415,스카이25,대전 서구 둔산중로 40,대전 서구 둔산동 1417번지
4416,로또공인중개사사무소,대전 동구 백룡로 135,대전 동구 용운동 437-3번지
4417,지에스(GS)25대전코젤점,대전 유성구 계백로 927,대전 유성구 원내동 802
4418,논스톱복권,대전 유성구 와룡로 23,대전 유성구 송강동 208-6
4419,DQ24 죽동점,대전 유성구 죽동로298번길 22,대전 유성구 죽동 695-3번지
4420,그린편의점,대전 서구 도산로181번길 2,대전 서구 변동 50-5
4421,중앙교통카드로또점,대전 동구 중앙로 192,대전 동구 중동 27-11번지
4422,승차권판매소,대전 동구 중앙로 191-1,대전 동구 중동 26-2
4423,파워로또,대전 동구 동서대로 1677,대전 동구 용전동 117-15
4424,돈벼락마트,대전 중구 충무로 169,대전 중구 문창동 61-11
4425,현대LOTTO복권,대전 중구 계백로 1570,대전 중구 유천동 305-4번지
4426,금맥을캐다,대전 중구 대둔산로 472-1,대전 중구 산성동 145-24
4427,형제상회,대전 서구 계룡로 664-1,대전 서구 용문동 256-3번지
4428,필복권방,대전 서구 관저북로 52 대자연마을아파트,대전 서구 관저동 990
4429,LOTTO복권방,대전 서구 문예로 16,대전 서구 탄방동 834
4430,대전우표사,대전 동구 중앙로204번길 16-1,대전 동구 중동 88-3번지
4431,대광광고사,대전 유성구 구즉로 54,대전 유성구 송강동 195-17번지
4432,성원상사,대전 유성구 엑스포로 488,대전 유성구 전민동 466-3번지
4433,노다지복권방,대전 서구 조달청길 62,대전 서구 도마동 103-11
4434,목동행운복권방,대전 중구 동서대로 1399,대전 중구 목동 5-15번지
4435,대박마트,대전 중구 충무로 124,대전 중구 대사동 69-59번지
4436,복권명당,대전 서구 만년남로3번길 164,대전 서구 만년동 112번지
4437,제우스테크,대전 서구 원도안로 30,대전 서구 가수원동 896
4438,플러스복권,대전 서구 대덕대로168번길 82 웰리움,대전 서구 갈마동 1448
4439,복권나라,대전 대덕구 신탄진동로 1,대전 대덕구 신탄진동 152-15번지
4440,금강수여울목,대전 대덕구 신탄진로 806-1,대전 대덕구 신탄진동 143-23번지
4441,금산인삼,대전 대덕구 비래서로 45,대전 대덕구 비래동 140-10
4442,행운슈퍼,대전 대덕구 오정로100번길 37,대전 대덕구 오정동 80-22번지
4443,오리엔트복권,대전 대덕구 중리남로 18,대전 대덕구 중리동 173-9번지
4444,로또복권방,대전 대덕구 중리남로8번길 70,대전 대덕구 중리동 143-8
